Time (s),Instantaneous frequency (Hz),MN type
2.096050049,120.481926,MNF
2.104350098,52.770447,MNF
2.123300049,77.519379,MNF
2.136199951,78.740158,MNF
2.148900146,77.821007,MNF
2.16175,77.519379,MNF
2.174650146,76.92308,MNF
2.187650146,76.335876,MNF
2.20075,75.757576,MNF
2.213949951,75.187965,MNF
2.22725,74.626862,MNF
2.240650146,74.074074,MNF
2.254150146,73.529411,MNF
2.26775,72.992699,MNF
2.281449951,72.202164,MNF
2.295300049,71.684586,MNF
2.30925,71.428574,MNF
2.32325,118.343201,MNF
2.331699951,77.220078,MNF
2.344650146,121.951225,MNF
2.352850098,74.074074,MNF
2.366350098,123.456787,MNF
2.374449951,71.684586,MNF
2.388400146,123.456787,MNF
2.3965,125.786156,MNF
2.404449951,71.174377,MNF
2.4185,122.699379,MNF
2.426650146,127.388535,MNF
2.4345,128.205124,MNF
2.442300049,129.032257,MNF
2.450050049,128.205124,MNF
2.457850098,126.582275,MNF
2.46575,125.786156,MNF
2.473699951,124.223602,MNF
2.48175,121.951225,MNF
2.489949951,121.21212,MNF
2.498199951,119.047607,MNF
2.506600098,117.647057,MNF
2.515100098,116.279068,MNF
2.523699951,113.63636,MNF
2.5325,112.359543,MNF
2.541400146,109.890106,MNF
2.5505,106.951866,MNF
2.559850098,103.092789,MNF
2.569550049,99.502487,MNF
2.579600098,93.457947,MNF
2.590300049,83.682007,MNF
2.60225,56.179771,MNF
2.620050049,55.401657,MNF
2.739449951,41.322311,MNE
2.763650146,44.642857,MNE
2.786050049,45.558086,MNE
2.808,46.082947,MNE
2.829699951,46.082947,MNE
2.851400146,46.189377,MNE
2.873050049,46.082947,MNE
2.89475,46.189377,MNE
2.916400146,46.189377,MNE
2.938050049,46.189377,MNE
2.959699951,46.189377,MNE
2.981350098,46.189377,MNE
3.003,46.082947,MNE
3.024699951,46.189377,MNE
3.046350098,46.189377,MNE
3.068,46.189377,MNE
