Condition,spikes number,mean burst duration (s),burst number,spike frequency/burst,burst frequency,Spike number/burst,Mean Interburst period (s),Step cycle T (F burst + interburst periods),TF/T %,Transition F-E
Control,5101,0.5513,98,94.41505606,1,52.05102041,0.45,1.0013,55.05842405,0.109
Control,5836,0.377,150,103.2007073,1.530612245,38.90666667,0.278,0.655,57.55725191,0.116
Control,5134,0.565,96,94.65339233,0.979591837,53.47916667,0.453,1.018,55.50098232,0.105
Control,5397,0.454,123,96.64768454,1.255102041,43.87804878,0.365,0.819,55.43345543,0.118
Control,5114,0.523,102,95.86473213,1.040816327,50.1372549,0.434,0.957,54.64994775,0.118
Control,5464,0.428,127,100.5224814,1.295918367,43.02362205,0.342,0.77,55.58441558,0.118
Control,6384,0.582,114,96.21993127,1.163265306,56,0.279,0.861,67.59581882,0.0093
Control,5480,0.398,139,99.05643325,1.418367347,39.42446043,0.306,0.704,56.53409091,0.107
Control,5085,0.474,113,94.93670886,1.153061224,45,0.393,0.867,54.67128028,0.101
Control,4979,0.484,109,94.37789067,1.112244898,45.67889908,0.415,0.899,53.83759733,0.103
Control,5051,0.442,118,96.84408314,1.204081633,42.80508475,0.386,0.828,53.38164251,0.116
Control,4753,0.543,97,90.23941068,0.989795918,49,0.47,1.013,53.60315893,0.99
Control,4912,0.509,103,93.69218151,1.051020408,47.68932039,0.441,0.95,53.57894737,0.103
Control,4822,0.53,98,92.83788987,1,49.20408163,0.471,1.001,52.94705295,0.11
Control,5098,0.439,121,95.97319227,1.234693878,42.1322314,0.372,0.811,54.13070284,0.109
Control,5107,0.474,113,95.34744782,1.153061224,45.19469027,0.391,0.865,54.79768786,0.1
Control,5306,0.379,140,100,1.428571429,37.9,0.32,0.699,54.22031474,0.117
Control,5419,0.334,157,103.3410885,1.602040816,34.51592357,0.289,0.623,53.61155698,0.129
Control,5219,0.393,136,97.64631043,1.387755102,38.375,0.326,0.719,54.65924896,0.116
Control,4975,0.514,103,93.97076045,1.051020408,48.30097087,0.433,0.947,54.27666315,0.1
Control,4466,0.546,93,87.95147505,0.948979592,48.02150538,0.507,1.053,51.85185185,0.117
V2b,4431,0.33,133,100.9569378,1.357142857,33.31578947,0.41,0.74,44.59459459,
V2b,4089,0.63,76,85.40100251,0.775510204,53.80263158,0.67,1.3,48.46153846,
V2b,4210,0.48,97,90.4209622,0.989795918,43.40206186,0.53,1.01,47.52475248,
V2b,4471,0.41,110,99.13525499,1.12244898,40.64545455,0.49,0.9,45.55555556,
V2b,4268,0.49,92,94.67613132,0.93877551,46.39130435,0.58,1.07,45.79439252,
V2b,4187,0.5,93,90.04301075,0.948979592,45.02150538,0.56,1.06,47.16981132,
V2b,4161,0.57,83,87.95180723,0.846938776,50.13253012,0.62,1.19,47.89915966,
V2b,4391,0.35,127,98.78515186,1.295918367,34.57480315,0.42,0.77,45.45454545,
V2b,4419,0.37,118,101.2139258,1.204081633,37.44915254,0.47,0.84,44.04761905,
V2b,4151,0.57,82,88.81044074,0.836734694,50.62195122,0.63,1.2,47.5,
V2b,4211,0.56,81,92.835097,0.826530612,51.98765432,0.66,1.22,45.90163934,
V2b,4192,0.46,100,91.13043478,1.020408163,41.92,0.52,0.98,46.93877551,
V2b,4444,0.42,105,100.7709751,1.071428571,42.32380952,0.52,0.94,44.68085106,
V2b,4112,0.45,96,95.18518519,0.979591837,42.83333333,0.58,1.03,43.68932039,
V2b,4076,0.36,119,95.14472456,1.214285714,34.25210084,0.48,0.84,42.85714286,
V2b,3972,0.51,86,90.56087551,0.87755102,46.18604651,0.64,1.15,44.34782609,
V1-1,5836,0.39,146,102.4938532,1.489795918,39.97260274,0.28,0.67,58.20895522,
V1-1,5962,0.37,157,102.633844,1.602040816,37.97452229,0.26,0.63,58.73015873,
V1-1,6164,0.34,172,105.4035568,1.755102041,35.8372093,0.23,0.57,59.64912281,
V1-1,5754,0.4,141,102.0212766,1.43877551,40.80851064,0.3,0.7,57.14285714,
V1-1,5988,0.35,162,105.6084656,1.653061224,36.96296296,0.25,0.6,58.33333333,
V1-1,5474,0.44,128,97.19460227,1.306122449,42.765625,0.33,0.77,57.14285714,
V1-1,6063,0.33,174,105.5903866,1.775510204,34.84482759,0.23,0.56,58.92857143,
V1-1,6117,0.34,169,106.4566655,1.724489796,36.19526627,0.24,0.58,58.62068966,
V1-1,5333,0.42,131,96.92838968,1.336734694,40.70992366,0.33,0.75,56,
V1-1,4696,0.55,95,89.87559809,0.969387755,49.43157895,0.49,1.04,52.88461538,
V1-1,5056,0.49,110,93.80333952,1.12244898,45.96363636,0.41,0.9,54.44444444,
V1-1,5321,0.44,124,97.52565982,1.265306122,42.91129032,0.35,0.79,55.69620253,
V1-1,4953,0.48,110,93.80681818,1.12244898,45.02727273,0.42,0.9,53.33333333,
V1-1,4576,0.57,92,87.26163234,0.93877551,49.73913043,0.5,1.07,53.27102804,
V1-1,4995,0.47,112,94.88981763,1.142857143,44.59821429,0.41,0.88,53.40909091,
V1-1,5029,0.5,107,94,1.091836735,47,0.42,0.92,54.34782609,
V1-1,5606,0.34,161,102.4113993,1.642857143,34.81987578,0.28,0.62,54.83870968,
V1-1,4972,0.46,113,95.65217391,1.153061224,44,0.41,0.87,52.87356322,
IINF,5217,0.43,128,94.78561047,1.306122449,40.7578125,0.34,0.77,55.84415584,
IINF,4754,0.54,97,90.759832,0.989795918,49.01030928,0.47,1.01,53.46534653,
IINF,5200,0.45,121,95.50045914,1.234693878,42.97520661,0.36,0.81,55.55555556,
IINF,5082,0.41,128,96.83689024,1.306122449,39.703125,0.36,0.77,53.24675325,
IINF,5122,0.4,134,95.55970149,1.367346939,38.2238806,0.34,0.74,54.05405405,
IINF,4839,0.54,99,90.51627385,1.010204082,48.87878788,0.46,1,54,
IINF,5412,0.4,139,97.3381295,1.418367347,38.9352518,0.31,0.71,56.33802817,
IINF,5143,0.44,122,95.80849478,1.244897959,42.1557377,0.37,0.81,54.32098765,
IINF,5380,0.39,139,99.24368198,1.418367347,38.70503597,0.32,0.71,54.92957746,
IINF,4947,0.48,110,93.69318182,1.12244898,44.97272727,0.42,0.9,53.33333333,
IINE,5143,0.39,135,97.68281102,1.37755102,38.0962963,0.34,0.73,53.42465753,
IINE,4971,0.48,111,93.29954955,1.132653061,44.78378378,0.41,0.89,53.93258427,
IINE,4900,0.53,100,92.45283019,1.020408163,49,0.45,0.98,54.08163265,
IINE,5501,0.36,151,101.1957322,1.540816327,36.43046358,0.29,0.65,55.38461538,
IINE,5418,0.36,150,100.3333333,1.530612245,36.12,0.3,0.66,54.54545455,
IINE,5704,0.35,160,101.8571429,1.632653061,35.65,0.26,0.61,57.37704918,
IINE,5142,0.39,134,98.39265212,1.367346939,38.37313433,0.34,0.73,53.42465753,
IINE,5140,0.43,124,96.39909977,1.265306122,41.4516129,0.36,0.79,54.43037975,
IINE,5011,0.5,108,92.7962963,1.102040816,46.39814815,0.42,0.92,54.34782609,
IINE,5397,0.37,144,101.295045,1.469387755,37.47916667,0.31,0.68,54.41176471,
RCF,6548,0.56,122,95.84309133,1.244897959,53.67213115,0.25,0.81,69.13580247,
RCF,6556,0.56,123,95.18002323,1.255102041,53.30081301,0.25,0.81,69.13580247,
RCF,6384,0.58,114,96.55172414,1.163265306,56,0.28,0.86,67.44186047,
RCF,6384,0.58,113,97.40616417,1.153061224,56.49557522,0.28,0.86,67.44186047,
RCF,6533,0.56,121,96.41381346,1.234693878,53.99173554,0.26,0.82,68.29268293,
RCF,6537,0.56,120,97.27678571,1.224489796,54.475,0.26,0.82,68.29268293,
RCF,6384,0.58,114,96.55172414,1.163265306,56,0.28,0.86,67.44186047,
RCF,5882,0.58,109,93.04017716,1.112244898,53.96330275,0.32,0.9,64.44444444,
RCF,5213,0.67,90,86.45107794,0.918367347,57.92222222,0.42,1.09,61.46788991,
RCF,6378,0.53,126,95.50763702,1.285714286,50.61904762,0.26,0.79,67.08860759,
RCF,5879,0.58,110,92.14733542,1.12244898,53.44545455,0.32,0.9,64.44444444,
RCF,5677,0.63,98,91.95011338,1,57.92857143,0.37,1,63,
RCF,5505,0.63,97,90.08345606,0.989795918,56.75257732,0.38,1.01,62.37623762,
RCF,6016,0.57,114,92.58233303,1.163265306,52.77192982,0.3,0.87,65.51724138,
RCF,6342,0.52,128,95.28245192,1.306122449,49.546875,0.25,0.77,67.53246753,
RCF,5825,0.6,104,93.34935897,1.06122449,56.00961538,0.34,0.94,63.82978723,
RCF,6882,0.47,150,97.61702128,1.530612245,45.88,0.19,0.66,71.21212121,
RCF,6982,0.46,155,97.92426367,1.581632653,45.04516129,0.18,0.64,71.875,
RCF,5528,0.64,96,89.97395833,0.979591837,57.58333333,0.38,1.02,62.74509804,
RCF,5937,0.58,110,93.05642633,1.12244898,53.97272727,0.32,0.9,64.44444444,
RCE,5157,0.41,131,96.01563955,1.336734694,39.36641221,0.34,0.75,54.66666667,
RCE,5157,0.42,128,95.92633929,1.306122449,40.2890625,0.35,0.77,54.54545455,
RCE,4829,0.53,98,92.97266076,1,49.2755102,0.47,1,53,
RCE,4960,0.45,115,95.84541063,1.173469388,43.13043478,0.43,0.88,51.13636364,
RCE,4866,0.53,100,91.81132075,1.020408163,48.66,0.45,0.98,54.08163265,
RCE,4974,0.46,113,95.69065025,1.153061224,44.01769912,0.41,0.87,52.87356322,
RCE,5292,0.38,141,98.76819709,1.43877551,37.53191489,0.32,0.7,54.28571429,
RCE,4899,0.5,104,94.21153846,1.06122449,47.10576923,0.45,0.95,52.63157895,
RCE,5165,0.39,135,98.10066477,1.37755102,38.25925926,0.34,0.73,53.42465753,
RCE,5057,0.49,110,93.82189239,1.12244898,45.97272727,0.41,0.9,54.44444444,
RCE,4984,0.49,109,93.31585845,1.112244898,45.72477064,0.41,0.9,54.44444444,
RCE,5595,0.34,161,102.2104494,1.642857143,34.7515528,0.27,0.61,55.73770492,
RCE,4916,0.49,107,93.76311272,1.091836735,45.94392523,0.43,0.92,53.26086957,
RCE,4896,0.48,108,94.44444444,1.102040816,45.33333333,0.43,0.91,52.74725275,
RCE,5050,0.49,110,93.69202226,1.12244898,45.90909091,0.41,0.9,54.44444444,
RCE,4974,0.46,113,95.69065025,1.153061224,44.01769912,0.4,0.86,53.48837209,
RCE,4976,0.46,114,94.88939741,1.163265306,43.64912281,0.4,0.86,53.48837209,
RCE,4901,0.51,103,93.2990672,1.051020408,47.58252427,0.44,0.95,53.68421053,
RCE,5199,0.45,121,95.48209366,1.234693878,42.96694215,0.36,0.81,55.55555556,
RCE,5036,0.44,119,96.1802903,1.214285714,42.31932773,0.38,0.82,53.65853659,
RCE,4937,0.51,104,93.08069382,1.06122449,47.47115385,0.43,0.94,54.25531915,
RCE,4887,0.54,99,91.41414141,1.010204082,49.36363636,0.46,1,54,
RCE,4829,0.49,105,93.85811467,1.071428571,45.99047619,0.45,0.94,52.12765957,
RCE,5202,0.45,121,95.53719008,1.234693878,42.99173554,0.36,0.81,55.55555556,
IaF,5183,0.4,133,97.42481203,1.357142857,38.96992481,0.34,0.74,54.05405405,
IaF,5160,0.41,131,96.07149507,1.336734694,39.38931298,0.34,0.75,54.66666667,
IaF,5473,0.35,154,101.5398887,1.571428571,35.53896104,0.28,0.63,55.55555556,
IaF,5465,0.36,150,101.2037037,1.530612245,36.43333333,0.29,0.65,55.38461538,
IaF,4724,0.54,97,90.18709431,0.989795918,48.70103093,0.48,1.02,52.94117647,
IaF,5106,0.44,120,96.70454545,1.224489796,42.55,0.38,0.82,53.65853659,
IaF,5183,0.4,130,99.67307692,1.326530612,39.86923077,0.35,0.75,53.33333333,
IaF,4876,0.53,100,92,1.020408163,48.76,0.46,0.99,53.53535354,
IaF,5466,0.37,148,99.81738495,1.510204082,36.93243243,0.3,0.67,55.2238806,
IaF,4658,0.56,95,87.55639098,0.969387755,49.03157895,0.48,1.04,53.84615385,
IaE,4997,0.48,110,94.64015152,1.12244898,45.42727273,0.41,0.89,53.93258427,
IaE,5322,0.38,141,99.3281075,1.43877551,37.74468085,0.32,0.7,54.28571429,
IaE,5118,0.48,114,93.53070175,1.163265306,44.89473684,0.39,0.87,55.17241379,
IaE,4548,0.56,93,87.32718894,0.948979592,48.90322581,0.5,1.06,52.83018868,
IaE,5163,0.43,124,96.83045761,1.265306122,41.63709677,0.36,0.79,54.43037975,
IaE,5389,0.39,139,99.40970301,1.418367347,38.76978417,0.32,0.71,54.92957746,
IaE,5277,0.43,126,97.39756368,1.285714286,41.88095238,0.35,0.78,55.12820513,
IaE,5288,0.38,141,98.69354237,1.43877551,37.5035461,0.32,0.7,54.28571429,
IaE,4860,0.51,103,92.51856082,1.051020408,47.18446602,0.45,0.96,53.125,
IaE,5043,0.43,121,96.92485105,1.234693878,41.67768595,0.38,0.81,53.08641975,
