MN type,Condition,TE/T% or TF/T %,intraburst spike frequency (Hz),interburst interval (s),intraburst spike frequency (% control),rate calcium increase
MNF,Control,53.60315893,94.41505606,0.47,,
MNF,Control,53.57894737,103.2007073,0.441,,
MNF,Control,52.94705295,94.65339233,0.471,,
MNF,Control,54.13070284,96.64768454,0.372,,
MNF,Control,54.79768786,95.86473213,0.391,,
MNF,Control,54.22031474,100.5224814,0.32,,
MNF,Control,53.61155698,96.21993127,0.289,,
MNF,Control,54.65924896,99.05643325,0.326,,
MNF,Control,54.27666315,94.93670886,0.433,,
MNF,Control,51.85185185,94.37789067,0.507,,
MNF,Disease,48.46153846,100.9569378,0.41,106.9288544,-0.037
MNF,Disease,47.52475248,85.40100251,0.67,82.75234225,-0.04
MNF,Disease,45.55555556,90.4209622,0.53,95.5284961,-0.04
MNF,Disease,45.79439252,99.13525499,0.49,102.5738542,-0.037
MNF,Disease,47.16981132,94.67613132,0.58,98.76012713,-0.031
MNF,Disease,47.89915966,90.04301075,0.56,89.57499805,-0.035
MNF,Disease,45.45454545,87.95180723,0.62,91.4070568,-0.031
MNF,Disease,44.04761905,98.78515186,0.42,99.72613451,-0.035
MNF,Disease,47.5,101.2139258,0.47,106.6120018,-0.038
MNF,Disease,58.73015873,88.81044074,0.63,94.10089599,-0.032
MNE,Control,33.26675322,48.71451253,0.669,,
MNE,Control,23.35877863,52.2875817,0.503,,
MNE,Control,33.10412574,48.68323442,0.681,,
MNE,Control,29.3040293,50,0.58,,
MNE,Control,32.07941484,49.24315003,0.65,,
MNE,Control,28.44155844,50.2283105,0.551,,
MNE,Control,30.42973287,49.75342836,0.599,,
MNE,Control,27.84090909,51.02040816,0.508,,
MNE,Control,33.21799308,48.98313492,0.581,,
MNE,Control,33.92658509,49.6660595,0.593,,
MNE,Disease,81.48648649,59.3,0.41,244.9487209,0.211938645
MNE,Disease,109.2307692,59.9,0.55,467.6219204,0.221000662
MNE,Disease,132.6732673,61.5,0.39,400.7756264,0.225537795
MNE,Disease,64.44444444,64.2,0.36,219.9166667,0.245957282
MNE,Disease,72.89719626,61.9,0.42,227.2397942,0.209594393
MNE,Disease,94.33962264,54.6,0.41,331.6963901,0.103435436
MNE,Disease,123.5294118,53.9,0.49,405.9497082,0.118705634
MNE,Disease,94.80519481,60.7,0.26,340.5247814,0.218673874
MNE,Disease,70.23809524,60.2,0.28,211.4459325,0.225134631
MNE,Disease,110.8333333,60.7,0.49,326.6857923,0.222634839
